k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12
8.923014143544527599e-01,3.679690766293000626e-01,3.684167844756562338e-01,4.750314250458720911e-01,4.753393370784915195e-01,4.961805132304890065e-01,4.965598078268702031e-01,5.338113594370337278e-01,5.342501619090237464e-01,6.383232880580156365e-01,6.390753290960060617e-01,6.745157262378399521e-01,6.749742064067260072e-01
9.091372900969896254e-01,3.689921062303188615e-01,3.694433305186977101e-01,4.737320549697844330e-01,4.739999124663640262e-01,4.960180881516078055e-01,4.964235382110743777e-01,5.323669280924158143e-01,5.328064325412467106e-01,6.417487100234117170e-01,6.424749983626172334e-01,6.771473017800245797e-01,6.775844414210779876e-01
9.259731658395264908e-01,3.700110665921925168e-01,3.704659641518514013e-01,4.722309087225796675e-01,4.724658014441660003e-01,4.962612763550836581e-01,4.966826961365896631e-01,5.308138259615748922e-01,5.312524609343884929e-01,6.453402495445751397e-01,6.460437952189862498e-01,6.797482278549740187e-01,6.801670737966880598e-01
9.428090415820632453e-01,3.710014009166495152e-01,3.714600485713057676e-01,4.706358859075325252e-01,4.708455626271075278e-01,4.968216144540348878e-01,4.972487072216611459e-01,5.291953567547033055e-01,5.296307578010659434e-01,6.490661029107716029e-01,6.497497965193925751e-01,6.822230661615382719e-01,6.826279738426950239e-01
9.596449173246001108e-01,3.719369427500210379e-01,3.723993116811389892e-01,4.690509760005371898e-01,4.692423007598013895e-01,4.976072441735388541e-01,4.980302210477933200e-01,5.275592717888939465e-01,5.279880890559387474e-01,6.528957647408597520e-01,6.535623134246432153e-01,6.844027209817145074e-01,6.848019626972605689e-01
9.764807930671369762e-01,3.727906246627636366e-01,3.732565561889778505e-01,4.675657492210486543e-01,4.677441725683368356e-01,4.985304910301281978e-01,4.989397721781172468e-01,5.259599363618686629e-01,5.263775928208340726e-01,6.567998284085071470e-01,6.574517307316970482e-01,6.859690142167222948e-01,6.863810836523951409e-01
9.933166688096738417e-01,3.735355129745596137e-01,3.740046978013857881e-01,4.662535897199412416e-01,4.664232018612645136e-01,4.995051865997520713e-01,4.998909214967354186e-01,5.244616197618008346e-01,5.248622115927927823e-01,6.607491190478655962e-01,6.613886780406088572e-01,6.864149270334979347e-01,6.868696839980985569e-01
1.010152544552210818e+00,3.741461674977624718e-01,3.746181344982609795e-01,4.651729756164451612e-01,4.653367758180218527e-01,5.004399569455940666e-01,5.007923233031632559e-01,5.231419860387037657e-01,5.235188612687513565e-01,6.647130797501413779e-01,6.653424774689343790e-01,6.853607295715525849e-01,6.858693737878105434e-01
1.026988420294747684e+00,3.746002509945918768e-01,3.750743711014137283e-01,4.643688797380476907e-01,4.645290790242329049e-01,5.012327467919457380e-01,5.015447880229001454e-01,5.220925286349350491e-01,5.224407964558172024e-01,6.686563791588991945e-01,6.692779848256713571e-01,6.830254512044243720e-01,6.835691511844178558e-01
1.043824296037284549e+00,3.748802176057368096e-01,3.753557270378007904e-01,4.638734573822774765e-01,4.640317504958199613e-01,5.017736466340005919e-01,5.020490539544467667e-01,5.214095838890756562e-01,5.217318113635300847e-01,6.725291372660645584e-01,6.731475074965419525e-01,6.799213117304244713e-01,6.804797354232189344e-01
1.060660171779821415e+00,3.749748273832556045e-01,3.754508705403275526e-01,4.637061205323804725e-01,4.638639187845972622e-01,5.019664038545541551e-01,5.022287202065859324e-01,5.211707676672608924e-01,5.214825114629662028e-01,6.758741192171370260e-01,6.765824707458397702e-01,6.767804452888305233e-01,6.772983076689222948e-01
1.077496047522358280e+00,3.733001902314730391e-01,3.763908731253467477e-01,4.612810741959226246e-01,4.659315559241996585e-01,4.987278891596867991e-01,5.062818574172448516e-01,5.162791613846848815e-01,5.268402475872927537e-01,6.743870534649503146e-01,6.764937666096105806e-01,6.766575991330382456e-01,6.784531942307341357e-01
1.094331923264895146e+00,3.705468854997830408e-01,3.769381592413126869e-01,4.585337605737077049e-01,4.675112130848941283e-01,4.964310554660759101e-01,5.110178026178726629e-01,5.119896888997479412e-01,5.325767507709848747e-01,6.719138220665612504e-01,6.761530440043986845e-01,6.763927555399273928e-01,6.795464514997762162e-01
1.111167799007432011e+00,3.673311657747396763e-01,3.765322239462021714e-01,4.556899029273057677e-01,4.682135841535425835e-01,4.953899615982861881e-01,5.085144763244929811e-01,5.160815424894055203e-01,5.386309814933458728e-01,6.693190479533313031e-01,6.752553999191777123e-01,6.761118715693438253e-01,6.798060372352763281e-01
1.128003674749968877e+00,3.637816678729282605e-01,3.751493569108866888e-01,4.528242547738384194e-01,4.678285754839522914e-01,4.956385643318630407e-01,5.060927364909345583e-01,5.212661468029240464e-01,5.449709889109684013e-01,6.666898146749955512e-01,6.738557759744768783e-01,6.759028333641577957e-01,6.790622000466356445e-01
1.144839550492505742e+00,3.600110998902628645e-01,3.728362242664839399e-01,4.499878124724949191e-01,4.663311740902256752e-01,4.969963206412921775e-01,5.049225071194026748e-01,5.263961359078832558e-01,5.515752773428682643e-01,6.640829486021885275e-01,6.720059899942087966e-01,6.758393875873405232e-01,6.774321943537262580e-01
1.161675426235042607e+00,3.561159506221465154e-01,3.697022429843294100e-01,4.472171287491531477e-01,4.638821833960025121e-01,4.991489065998654939e-01,5.050867763970776636e-01,5.313314190288003225e-01,5.584197074177454923e-01,6.615376690715054631e-01,6.697778452421572215e-01,6.751232760753255180e-01,6.760106077168224203e-01
1.178511301977579473e+00,3.521781846927836690e-01,3.658993999526432561e-01,4.445397390456943265e-01,4.607350894128977026e-01,5.017656505161375291e-01,5.065489473046542734e-01,5.359695254158197697e-01,5.654687366965936990e-01,6.590822238966882463e-01,6.672481487277892587e-01,6.724028362172500550e-01,6.764003586573802407e-01
1.195347177720116338e+00,3.482674528725649421e-01,3.615986505397246198e-01,4.419772988424424121e-01,4.571476215159421264e-01,5.045794275049664268e-01,5.091840497048649716e-01,5.402434611372556317e-01,5.726726522052644208e-01,6.567378321578923872e-01,6.644826267974925926e-01,6.693716253171577701e-01,6.770768951274039882e-01
1.212183053462653204e+00,3.444433075121323684e-01,3.569710121147722237e-01,4.395474822713049123e-01,4.533362143053854543e-01,5.074667301835213973e-01,5.127620036239163293e-01,5.441158469748320625e-01,5.799692975654624494e-01,6.545209344123626982e-01,6.615238525426317961e-01,6.661384036769766315e-01,6.780412555047616863e-01
1.229018929205190069e+00,3.407570801833899599e-01,3.521761542289185698e-01,4.372650841009389500e-01,4.494668783242009580e-01,5.104011916655132319e-01,5.170130175577873910e-01,5.475719081213785699e-01,5.872876242299704952e-01,6.524447429988114999e-01,6.583808167825344615e-01,6.627958355601971663e-01,6.792864690540888484e-01
1.245854804947726935e+00,3.372533995451166278e-01,3.473575061070086067e-01,4.351428078463124849e-01,4.456633840607568398e-01,5.133478256325433309e-01,5.217280172658503856e-01,5.506130635019266251e-01,5.945502736863341742e-01,6.505200058785949313e-01,6.550217350420535212e-01,6.594550813268761358e-01,6.807899922984446128e-01
1.262690680690263800e+00,3.339713150433266109e-01,3.426413918771982203e-01,4.331916544951601722e-01,4.420187417805151453e-01,5.162507404231123642e-01,5.267574578950457997e-01,5.532521694053347261e-01,6.016744225702276294e-01,6.487556708498415370e-01,6.513923946582933500e-01,6.562440573615464512e-01,6.825136325141891724e-01
1.279526556432800666e+00,3.309451191533027692e-01,3.381381193983629685e-01,4.314212214452856631e-01,4.386045686755843387e-01,5.190500375664931498e-01,5.319802015062623513e-01,5.555098475435944483e-01,6.085706924267936246e-01,6.471588527190946794e-01,6.474727771436555868e-01,6.532633208179946527e-01,6.844040650507429158e-01
